,Province/State,Country/Region,Lat,Long,date,confirmed_cases,deaths_cases,recovered_cases,Anual Average Temperature (C),Anual Average High Temperature (C),Anual Average Low Temperature (C),Month Average Temperature (C),Month Average High Temperature (C),Month Average Low Temperature (C)
173,,North Macedonia,41.6086,21.7453,1/22/20,0,0,0,11.61111111,16.44444444,6.666666667,0.277777778,3.611111111,-2.555555556
174,,Norway,60.472,8.4689,1/22/20,0,0,0,4.333333333,6.722222222,1,-3.944444444,-1.666666667,-6.888888889
175,,Oman,21,57,1/22/20,0,0,0,26.55555556,31.44444444,21.83333333,19.33333333,23.83333333,14.55555556
176,,Pakistan,30.3753,69.3451,1/22/20,0,0,0,21.5,28.38888889,14.77777778,10.44444444,17.27777778,4
177,,Panama,8.538,-80.7821,1/22/20,0,0,0,25.94444444,30.16666667,23.27777778,25.66666667,30.55555556,23.16666667
178,,Papua New Guinea,-6.315,143.9555,1/22/20,0,0,0,24.66666667,29.33333333,20.94444444,25.22222222,29.94444444,21.38888889
179,,Paraguay,-23.4425,-58.4438,1/22/20,0,0,0,22.27777778,27.88888889,17.33333333,26.88888889,32.72222222,21.88888889
180,,Peru,-9.19,-75.0152,1/22/20,0,0,0,15.83333333,22.94444444,11.5,17.33333333,24,13.55555556
181,,Philippines,13,122,1/22/20,0,0,0,26.55555556,30.33333333,22.72222222,25.27777778,28.83333333,21.5
182,,Poland,51.9194,19.1451,1/22/20,0,0,0,7,13.44444444,1,-3.055555556,1.888888889,-8.388888889
183,,Portugal,39.3999,-8.2245,1/22/20,0,0,0,15.77777778,20.16666667,12.33333333,11,14.61111111,7.833333333
184,,Qatar,25.3548,51.1839,1/22/20,0,0,0,26.72222222,31.61111111,22,17.16666667,20.72222222,13.33333333
185,,Romania,45.9432,24.9668,1/22/20,0,0,0,8.666666667,13.94444444,5.055555556,-2.666666667,1,-5.333333333
186,,Russia,60,90,1/22/20,0,0,0,-0.944444444,3.611111111,-5.166666667,-18.16666667,-14,-21.72222222
187,,Rwanda,-1.9403,29.8739,1/22/20,0,0,0,19.11111111,24.77777778,14.83333333,19.16666667,24.88888889,14.88888889
188,,Saint Lucia,13.9094,-60.9789,1/22/20,0,0,0,27.5,29.83333333,24.77777778,26.11111111,28.44444444,23.55555556
189,,Saint Vincent and the Grenadines,12.9843,-61.2872,1/22/20,0,0,0,25.27777778,30.16666667,24.88888889,24.61111111,28.88888889,23.88888889
190,,San Marino,43.9424,12.4578,1/22/20,0,0,0,12.77777778,15.77777778,9.277777778,5,7.5,2.277777778
191,,Saudi Arabia,24,45,1/22/20,0,0,0,25.33333333,30.66666667,18.94444444,15.66666667,21,10.44444444
192,,Senegal,14.4974,-14.4524,1/22/20,0,0,0,27.5,33.38888889,21.66666667,23.88888889,31.05555556,17.33333333
193,,Serbia,44.0165,21.0059,1/22/20,0,0,0,10.11111111,15.16666667,5.5,-0.611111111,2.888888889,-3.666666667
194,,Seychelles,-4.6796,55.492,1/22/20,0,0,0,26.66666667,29.38888889,24.55555556,26.66666667,29.61111111,23.88888889
195,,Singapore,1.2833,103.8333,1/22/20,0,0,0,26.44444444,30.44444444,23.88888889,26.11111111,29.44444444,22.77777778
196,,Slovakia,48.669,19.699,1/22/20,0,0,0,6.222222222,11.66666667,2.222222222,-4.111111111,-0.166666667,-7.111111111
197,,Slovenia,46.1512,14.9955,1/22/20,0,0,0,8,12.11111111,3.722222222,-1.611111111,1.333333333,-4.888888889
198,,Somalia,5.1521,46.1996,1/22/20,0,0,0,26.61111111,31.88888889,21.38888889,25.38888889,30.66666667,19.5
199,,South Africa,-30.5595,22.9375,1/22/20,0,0,0,16.94444444,23.11111111,10.66666667,21.83333333,27.5,16.11111111
200,,Spain,40,-4,1/22/20,0,0,0,15.55555556,20.72222222,11.27777778,9.444444444,13.83333333,5.777777778
201,,Sri Lanka,7,81,1/22/20,0,0,0,25.38888889,29.72222222,23.5,24.27777778,28.77777778,21.83333333
202,,Sudan,12.8628,30.2176,1/22/20,0,0,0,27.88888889,34.72222222,20.66666667,22.77777778,30.27777778,14.88888889
203,,Suriname,3.9193,-56.0278,1/22/20,0,0,0,25.72222222,30,23.88888889,25.38888889,28.88888889,23.61111111
